provinsi;tahun;klasifikasi;lpe_tw1;lpe_tw2;lpe_tw3;lpe_tw4;lpe_ctc;kontribusi;pdrb_perkapita;inflasi;pma;pmdn;ekspor_top3;naker_top;ipm;kemiskinan;tpt;gini;interpretasi_ekonomi_riil;rekomendasi_ekonomi_riil
Aceh;2011;Daerah Relatif Tertinggal;2.4;3.3;3.3;4.1;3.3;1.4;23.4;3.4;22.5;259.4;-;"Pertanian; Jasa Lainnya; Perdagangan dan Akmamin";67.5;-;9.0;0.326;Ekonomi Aceh masih bertumpu pada sektor Pertanian dan Administrasi Pemerintahan. Setelah penurunan peran migas, struktur ekonomi belum sepenuhnya memperoleh mesin pertumbuhan baru yang kuat. Ketergantungan pada dana otonomi khusus juga membuat dorongan ekonomi riil belum optimal, sementara peran industri pengolahan masih terbatas.;Aceh perlu mendorong transformasi ke agroindustri berbasis ekspor. Fokus pembangunan perlu diarahkan pada hilirisasi komoditas unggulan (kopi, nilam, sawit) melalui optimalisasi KEK. Disisi lain, Aceh perlu memperkuat positioning  dalam ekonomi syariah, baik pariwisata halal maupun keuangan syariah, serta membuka akses pasar melalui penguatan pelabuhan Sabang.
Aceh;2012;Daerah Relatif Tertinggal;3.6;4.3;4.3;3.2;3.9;1.3;24.3;0.2;172.3;60.2;-;"Pertanian; Jasa Lainnya; Industri";67.8;18.6;9.1;0.341;Ekonomi Aceh masih bertumpu pada sektor Pertanian dan Administrasi Pemerintahan. Setelah penurunan peran migas, struktur ekonomi belum sepenuhnya memperoleh mesin pertumbuhan baru yang kuat. Ketergantungan pada dana otonomi khusus juga membuat dorongan ekonomi riil belum optimal, sementara peran industri pengolahan masih terbatas.;Aceh perlu mendorong transformasi ke agroindustri berbasis ekspor. Fokus pembangunan perlu diarahkan pada hilirisasi komoditas unggulan (kopi, nilam, sawit) melalui optimalisasi KEK. Disisi lain, Aceh perlu memperkuat positioning  dalam ekonomi syariah, baik pariwisata halal maupun keuangan syariah, serta membuka akses pasar melalui penguatan pelabuhan Sabang.
Aceh;2013;Daerah Relatif Tertinggal;2.5;2.0;3.0;2.9;2.6;1.3;25.2;7.3;94.2;3636.4;-;"Pertanian; Jasa Lainnya; Perdagangan dan Akmamin";68.3;17.7;10.1;0.331;Ekonomi Aceh masih bertumpu pada sektor Pertanian dan Administrasi Pemerintahan. Setelah penurunan peran migas, struktur ekonomi belum sepenuhnya memperoleh mesin pertumbuhan baru yang kuat. Ketergantungan pada dana otonomi khusus juga membuat dorongan ekonomi riil belum optimal, sementara peran industri pengolahan masih terbatas.;Aceh perlu mendorong transformasi ke agroindustri berbasis ekspor. Fokus pembangunan perlu diarahkan pada hilirisasi komoditas unggulan (kopi, nilam, sawit) melalui optimalisasi KEK. Disisi lain, Aceh perlu memperkuat positioning  dalam ekonomi syariah, baik pariwisata halal maupun keuangan syariah, serta membuka akses pasar melalui penguatan pelabuhan Sabang.
Aceh;2014;Daerah Relatif Tertinggal;1.7;2.3;2.1;0.1;1.6;1.2;26.1;8.1;31.1;5110.3;-;"Pertanian; Jasa Lainnya; Perdagangan dan Akmamin";68.8;17.0;9.0;0.337;Ekonomi Aceh masih bertumpu pada sektor Pertanian dan Administrasi Pemerintahan. Setelah penurunan peran migas, struktur ekonomi belum sepenuhnya memperoleh mesin pertumbuhan baru yang kuat. Ketergantungan pada dana otonomi khusus juga membuat dorongan ekonomi riil belum optimal, sementara peran industri pengolahan masih terbatas.;Aceh perlu mendorong transformasi ke agroindustri berbasis ekspor. Fokus pembangunan perlu diarahkan pada hilirisasi komoditas unggulan (kopi, nilam, sawit) melalui optimalisasi KEK. Disisi lain, Aceh perlu memperkuat positioning  dalam ekonomi syariah, baik pariwisata halal maupun keuangan syariah, serta membuka akses pasar melalui penguatan pelabuhan Sabang.
Aceh;2015;Daerah Relatif Tertinggal;-2.1;-1.9;0.0;1.0;-0.7;1.1;25.8;1.5;21.2;4192.4;-;"Pertanian; Jasa Lainnya; Perdagangan dan Akmamin";69.5;17.1;9.9;0.339;Ekonomi Aceh masih bertumpu pada sektor Pertanian dan Administrasi Pemerintahan. Setelah penurunan peran migas, struktur ekonomi belum sepenuhnya memperoleh mesin pertumbuhan baru yang kuat. Ketergantungan pada dana otonomi khusus juga membuat dorongan ekonomi riil belum optimal, sementara peran industri pengolahan masih terbatas.;Aceh perlu mendorong transformasi ke agroindustri berbasis ekspor. Fokus pembangunan perlu diarahkan pada hilirisasi komoditas unggulan (kopi, nilam, sawit) melalui optimalisasi KEK. Disisi lain, Aceh perlu memperkuat positioning  dalam ekonomi syariah, baik pariwisata halal maupun keuangan syariah, serta membuka akses pasar melalui penguatan pelabuhan Sabang.
Aceh;2016;Daerah Relatif Tertinggal;3.7;2.7;2.5;4.2;3.3;1.1;26.9;3.9;134.5;2456.1;-;"Pertanian; Jasa Lainnya; Perdagangan dan Akmamin";70.0;16.4;7.6;0.341;Ekonomi Aceh masih bertumpu pada sektor Pertanian dan Administrasi Pemerintahan. Setelah penurunan peran migas, struktur ekonomi belum sepenuhnya memperoleh mesin pertumbuhan baru yang kuat. Ketergantungan pada dana otonomi khusus juga membuat dorongan ekonomi riil belum optimal, sementara peran industri pengolahan masih terbatas.;Aceh perlu mendorong transformasi ke agroindustri berbasis ekspor. Fokus pembangunan perlu diarahkan pada hilirisasi komoditas unggulan (kopi, nilam, sawit) melalui optimalisasi KEK. Disisi lain, Aceh perlu memperkuat positioning  dalam ekonomi syariah, baik pariwisata halal maupun keuangan syariah, serta membuka akses pasar melalui penguatan pelabuhan Sabang.
Aceh;2017;Daerah Relatif Tertinggal;3.8;4.5;4.8;3.5;4.2;1.1;28.1;4.2;23.2;782.8;-;"Pertanian; Jasa Lainnya; Perdagangan dan Akmamin";70.6;15.9;6.6;0.329;Ekonomi Aceh masih bertumpu pada sektor Pertanian dan Administrasi Pemerintahan. Setelah penurunan peran migas, struktur ekonomi belum sepenuhnya memperoleh mesin pertumbuhan baru yang kuat. Ketergantungan pada dana otonomi khusus juga membuat dorongan ekonomi riil belum optimal, sementara peran industri pengolahan masih terbatas.;Aceh perlu mendorong transformasi ke agroindustri berbasis ekspor. Fokus pembangunan perlu diarahkan pada hilirisasi komoditas unggulan (kopi, nilam, sawit) melalui optimalisasi KEK. Disisi lain, Aceh perlu memperkuat positioning  dalam ekonomi syariah, baik pariwisata halal maupun keuangan syariah, serta membuka akses pasar melalui penguatan pelabuhan Sabang.
Aceh;2018;Daerah Relatif Tertinggal;3.2;5.7;4.1;5.4;4.6;1.1;29.5;1.8;71.2;970.0;-;"Pertanian; Perdagangan; Industri";71.2;15.7;6.3;0.318;Ekonomi Aceh masih bertumpu pada sektor Pertanian dan Administrasi Pemerintahan. Setelah penurunan peran migas, struktur ekonomi belum sepenuhnya memperoleh mesin pertumbuhan baru yang kuat. Ketergantungan pada dana otonomi khusus juga membuat dorongan ekonomi riil belum optimal, sementara peran industri pengolahan masih terbatas.;Aceh perlu mendorong transformasi ke agroindustri berbasis ekspor. Fokus pembangunan perlu diarahkan pada hilirisasi komoditas unggulan (kopi, nilam, sawit) melalui optimalisasi KEK. Disisi lain, Aceh perlu memperkuat positioning  dalam ekonomi syariah, baik pariwisata halal maupun keuangan syariah, serta membuka akses pasar melalui penguatan pelabuhan Sabang.
Aceh;2019;Daerah Relatif Tertinggal;3.8;3.6;3.7;5.3;4.1;1.0;30.9;1.9;137.5;3606.9;-;"Pertanian; Perdagangan; Industri";71.9;15.0;6.2;0.321;Ekonomi Aceh masih bertumpu pada sektor Pertanian dan Administrasi Pemerintahan. Setelah penurunan peran migas, struktur ekonomi belum sepenuhnya memperoleh mesin pertumbuhan baru yang kuat. Ketergantungan pada dana otonomi khusus juga membuat dorongan ekonomi riil belum optimal, sementara peran industri pengolahan masih terbatas.;Aceh perlu mendorong transformasi ke agroindustri berbasis ekspor. Fokus pembangunan perlu diarahkan pada hilirisasi komoditas unggulan (kopi, nilam, sawit) melalui optimalisasi KEK. Disisi lain, Aceh perlu memperkuat positioning  dalam ekonomi syariah, baik pariwisata halal maupun keuangan syariah, serta membuka akses pasar melalui penguatan pelabuhan Sabang.
Aceh;2020;Daerah Relatif Tertinggal;3.4;-1.6;-0.1;-3.0;-0.4;1.1;31.6;3.6;51.1;8241.1;-;"Pertanian; Perdagangan; Industri";73.3;15.4;6.6;0.319;Ekonomi Aceh masih bertumpu pada sektor Pertanian dan Administrasi Pemerintahan. Setelah penurunan peran migas, struktur ekonomi belum sepenuhnya memperoleh mesin pertumbuhan baru yang kuat. Ketergantungan pada dana otonomi khusus juga membuat dorongan ekonomi riil belum optimal, sementara peran industri pengolahan masih terbatas.;Aceh perlu mendorong transformasi ke agroindustri berbasis ekspor. Fokus pembangunan perlu diarahkan pada hilirisasi komoditas unggulan (kopi, nilam, sawit) melalui optimalisasi KEK. Disisi lain, Aceh perlu memperkuat positioning  dalam ekonomi syariah, baik pariwisata halal maupun keuangan syariah, serta membuka akses pasar melalui penguatan pelabuhan Sabang.
