provinsi;sektor;lq_2025;rps_2025;im_2025;rs_2025;kontribusi_2025;pertumbuhan_2025
Aceh;Pertanian;2.4;1.3;-19.5;8.3;3.7;31.0
Aceh;Pertambangan;1.0;1.0;-27.5;0.8;2.9;7.4
Aceh;Industri;0.2;0.1;-8.6;-36.5;2.6;4.9
Aceh;Pengadaan Listrik;0.2;1.2;-5.0;7.5;3.2;0.1
Aceh;Pengadaan Air;0.5;1.5;-1.7;25.1;3.7;0.0
Aceh;Konstruksi;0.9;0.7;-2.1;-16.7;0.8;8.8
Aceh;Perdagangan;1.2;0.9;-4.1;-6.7;5.6;14.8
Aceh;Transportasi;1.6;0.4;36.9;-53.3;9.4;6.4
Aceh;Akmamin;0.5;1.3;14.6;21.0;12.1;1.7
Aceh;Informasi dan Komunikasi;0.6;0.5;71.9;-57.6;5.0;2.8
Aceh;Jasa Keuangan;0.4;0.6;4.4;-23.4;2.3;1.6
Aceh;Real Estat;1.6;1.6;-14.4;21.3;3.9;3.7
Aceh;Jasa Perusahaan;0.3;0.5;33.7;-44.2;3.6;0.6
Aceh;Adm. Pemerintahan;2.8;1.4;-16.0;15.7;3.0;8.9
Aceh;Jasa Pendidikan;0.9;1.8;-13.1;31.6;3.4;2.7
Aceh;Jasa Kesehatan;2.3;0.8;46.7;-23.8;3.5;3.1
Aceh;Jasa Lainnya;0.7;0.7;51.1;-30.2;6.3;1.4
Sumatera Utara;Pertanian;2.2;1.6;-19.5;19.8;4.2;24.0
Sumatera Utara;Pertambangan;0.2;1.5;-27.5;13.0;3.0;1.2
Sumatera Utara;Industri;0.8;0.7;-8.6;-12.9;3.4;18.6
Sumatera Utara;Pengadaan Listrik;0.1;1.1;-5.0;4.6;3.2;0.1
Sumatera Utara;Pengadaan Air;1.2;1.0;-1.7;1.1;3.4;0.1
Sumatera Utara;Konstruksi;1.2;1.0;-2.1;-2.1;4.0;12.9
Sumatera Utara;Perdagangan;1.4;1.3;-4.1;13.6;5.7;19.0
Sumatera Utara;Transportasi;1.0;0.7;36.9;-26.3;10.8;5.0
Sumatera Utara;Akmamin;0.8;1.0;14.6;0.8;8.5;2.1
Sumatera Utara;Informasi dan Komunikasi;0.5;0.9;71.9;-14.4;7.3;2.3
Sumatera Utara;Jasa Keuangan;0.7;0.6;4.4;-21.0;4.1;2.8
Sumatera Utara;Real Estat;1.6;1.7;-14.4;25.0;5.4;4.6
Sumatera Utara;Jasa Perusahaan;0.5;0.8;33.7;-19.5;7.8;1.1
Sumatera Utara;Adm. Pemerintahan;1.0;0.9;-16.0;-2.7;1.7;3.0
Sumatera Utara;Jasa Pendidikan;0.7;1.6;-13.1;21.4;5.6;1.7
Sumatera Utara;Jasa Kesehatan;0.7;0.6;46.7;-38.8;6.2;0.9
Sumatera Utara;Jasa Lainnya;0.3;0.6;51.1;-37.3;7.0;0.6
Sumatera Barat;Pertanian;1.9;1.0;-19.5;0.2;3.3;21.4
Sumatera Barat;Pertambangan;0.5;1.1;-27.5;2.2;2.9;4.0
Sumatera Barat;Industri;0.5;0.5;-8.6;-20.3;3.2;8.5
Sumatera Barat;Pengadaan Listrik;0.1;0.8;-5.0;-10.0;3.2;0.1
Sumatera Barat;Pengadaan Air;1.2;0.8;-1.7;-11.5;2.5;0.1
Sumatera Barat;Konstruksi;0.9;1.0;-2.1;-1.9;2.9;9.9
Sumatera Barat;Perdagangan;1.3;1.3;-4.1;13.1;4.6;16.5
Sumatera Barat;Transportasi;2.1;0.3;36.9;-57.4;4.3;11.0
Sumatera Barat;Akmamin;0.4;1.0;14.6;2.3;8.0;1.4
Sumatera Barat;Informasi dan Komunikasi;1.3;0.9;71.9;-13.8;6.3;6.7
Sumatera Barat;Jasa Keuangan;0.8;1.0;4.4;-2.1;5.2;3.1
Sumatera Barat;Real Estat;0.8;1.6;-14.4;22.3;5.9;2.1
Sumatera Barat;Jasa Perusahaan;0.2;0.6;33.7;-33.2;6.0;0.4
Sumatera Barat;Adm. Pemerintahan;1.8;1.3;-16.0;9.5;3.9;6.5
Sumatera Barat;Jasa Pendidikan;1.4;1.8;-13.1;31.1;3.6;4.5
Sumatera Barat;Jasa Kesehatan;1.3;1.0;46.7;-3.0;6.4;1.7
Sumatera Barat;Jasa Lainnya;0.9;0.8;51.1;-16.9;8.9;2.1
Riau;Pertanian;2.4;1.5;-19.5;15.3;3.3;26.8
Riau;Pertambangan;1.9;-1.1;-27.5;-48.9;1.1;19.3
Riau;Industri;1.6;1.3;-8.6;10.8;4.6;28.2
Riau;Pengadaan Listrik;0.1;2.4;-5.0;63.2;6.9;0.1
Riau;Pengadaan Air;0.2;0.8;-1.7;-12.3;5.2;0.0
Riau;Konstruksi;0.9;1.2;-2.1;9.3;6.4;9.3
Riau;Perdagangan;0.8;1.3;-4.1;12.9;7.3;10.1
Riau;Transportasi;0.2;0.3;36.9;-62.3;9.3;0.8
Riau;Akmamin;0.1;0.6;14.6;-23.5;7.5;0.5
Riau;Informasi dan Komunikasi;0.2;0.8;71.9;-21.3;7.0;0.8
Riau;Jasa Keuangan;0.2;0.7;4.4;-18.5;3.7;0.9
Riau;Real Estat;0.4;1.1;-14.4;5.4;4.3;0.8
Riau;Jasa Perusahaan;0.0;0.5;33.7;-45.7;9.3;0.0
Riau;Adm. Pemerintahan;0.6;0.9;-16.0;-4.7;6.4;1.3
Riau;Jasa Pendidikan;0.2;1.3;-13.1;12.7;5.2;0.5
Riau;Jasa Kesehatan;0.2;1.1;46.7;6.5;6.2;0.2
Riau;Jasa Lainnya;0.2;0.6;51.1;-44.7;9.5;0.4
Jambi;Pertanian;2.4;1.7;-19.5;21.3;5.1;32.6
Jambi;Pertambangan;3.1;1.3;-27.5;7.3;3.2;15.5
Jambi;Industri;0.5;0.8;-8.6;-9.2;4.3;9.8
Jambi;Pengadaan Listrik;0.1;2.1;-5.0;48.8;9.6;0.1
Jambi;Pengadaan Air;1.5;0.7;-1.7;-15.1;1.8;0.1
Jambi;Konstruksi;0.8;1.1;-2.1;4.1;3.2;7.1
Jambi;Perdagangan;0.8;1.4;-4.1;20.7;7.0;13.1
Jambi;Transportasi;0.7;0.8;36.9;-18.8;10.6;3.1
Jambi;Akmamin;0.4;1.1;14.6;7.9;8.1;1.1
Jambi;Informasi dan Komunikasi;0.6;0.8;71.9;-27.2;7.1;3.6
Jambi;Jasa Keuangan;0.6;0.8;4.4;-9.6;2.9;2.2
Jambi;Real Estat;0.5;1.3;-14.4;12.4;4.2;1.4
Jambi;Jasa Perusahaan;0.6;1.0;33.7;0.7;12.1;1.5
Jambi;Adm. Pemerintahan;1.0;0.7;-16.0;-11.4;2.8;3.6
Jambi;Jasa Pendidikan;1.1;1.4;-13.1;13.4;4.1;3.0
Jambi;Jasa Kesehatan;1.0;0.9;46.7;-11.1;4.4;1.2
Jambi;Jasa Lainnya;0.5;0.6;51.1;-45.1;6.9;0.9
Sumatera Selatan;Pertanian;1.4;1.0;-19.5;-1.2;3.5;13.4
Sumatera Selatan;Pertambangan;3.2;2.5;-27.5;36.0;5.2;25.7
Sumatera Selatan;Industri;0.9;1.2;-8.6;10.2;4.4;18.0
Sumatera Selatan;Pengadaan Listrik;0.1;2.6;-5.0;74.7;5.3;0.1
Sumatera Selatan;Pengadaan Air;1.2;0.6;-1.7;-21.0;1.2;0.1
Sumatera Selatan;Konstruksi;1.1;1.1;-2.1;3.0;4.2;10.7
