provinsi;tahun;sektor;kontribusi_sektor;
Aceh;2011;Pertanian;25.5;
Aceh;2011;Pertambangan;14.7;
Aceh;2011;Industri;8.6;
Aceh;2011;Pengadaan Listrik;0.1;
Aceh;2011;Pengadaan Air;0.0;
Aceh;2011;Konstruksi;8.2;
Aceh;2011;Perdagangan;14.1;
Aceh;2011;Transportasi;7.4;
Aceh;2011;Akmamin;0.9;
Aceh;2011;Informasi dan Komunikasi;3.2;
Aceh;2011;Jasa Keuangan;1.5;
Aceh;2011;Real Estat;3.1;
Aceh;2011;Jasa Perusahaan;0.5;
Aceh;2011;Adm. Pemerintahan;7.0;
Aceh;2011;Jasa Pendidikan;1.9;
Aceh;2011;Jasa Kesehatan;2.1;
Aceh;2011;Jasa Lainnya;1.1;
Aceh;2012;Pertanian;25.9;
Aceh;2012;Pertambangan;13.4;
Aceh;2012;Industri;8.6;
Aceh;2012;Pengadaan Listrik;0.1;
Aceh;2012;Pengadaan Air;0.0;
Aceh;2012;Konstruksi;8.4;
Aceh;2012;Perdagangan;14.3;
Aceh;2012;Transportasi;7.5;
Aceh;2012;Akmamin;1.0;
Aceh;2012;Informasi dan Komunikasi;3.3;
Aceh;2012;Jasa Keuangan;1.6;
Aceh;2012;Real Estat;3.1;
Aceh;2012;Jasa Perusahaan;0.5;
Aceh;2012;Adm. Pemerintahan;7.0;
Aceh;2012;Jasa Pendidikan;1.8;
Aceh;2012;Jasa Kesehatan;2.2;
Aceh;2012;Jasa Lainnya;1.1;
Aceh;2013;Pertanian;26.6;
Aceh;2013;Pertambangan;12.2;
Aceh;2013;Industri;8.0;
Aceh;2013;Pengadaan Listrik;0.1;
Aceh;2013;Pengadaan Air;0.0;
Aceh;2013;Konstruksi;8.6;
Aceh;2013;Perdagangan;14.4;
Aceh;2013;Transportasi;7.7;
Aceh;2013;Akmamin;1.1;
Aceh;2013;Informasi dan Komunikasi;3.2;
Aceh;2013;Jasa Keuangan;1.7;
Aceh;2013;Real Estat;3.2;
Aceh;2013;Jasa Perusahaan;0.5;
Aceh;2013;Adm. Pemerintahan;7.3;
Aceh;2013;Jasa Pendidikan;1.9;
Aceh;2013;Jasa Kesehatan;2.3;
Aceh;2013;Jasa Lainnya;1.2;
Aceh;2014;Pertanian;26.9;
Aceh;2014;Pertambangan;10.6;
Aceh;2014;Industri;7.4;
Aceh;2014;Pengadaan Listrik;0.1;
Aceh;2014;Pengadaan Air;0.0;
Aceh;2014;Konstruksi;9.0;
Aceh;2014;Perdagangan;14.8;
Aceh;2014;Transportasi;7.7;
Aceh;2014;Akmamin;1.1;
Aceh;2014;Informasi dan Komunikasi;3.1;
Aceh;2014;Jasa Keuangan;1.8;
Aceh;2014;Real Estat;3.4;
Aceh;2014;Jasa Perusahaan;0.6;
Aceh;2014;Adm. Pemerintahan;7.9;
Aceh;2014;Jasa Pendidikan;2.0;
Aceh;2014;Jasa Kesehatan;2.3;
Aceh;2014;Jasa Lainnya;1.2;
Aceh;2015;Pertanian;29.1;
Aceh;2015;Pertambangan;5.8;
Aceh;2015;Industri;6.0;
Aceh;2015;Pengadaan Listrik;0.1;
Aceh;2015;Pengadaan Air;0.0;
Aceh;2015;Konstruksi;9.5;
Aceh;2015;Perdagangan;15.8;
Aceh;2015;Transportasi;7.9;
Aceh;2015;Akmamin;1.3;
Aceh;2015;Informasi dan Komunikasi;3.2;
Aceh;2015;Jasa Keuangan;1.9;
Aceh;2015;Real Estat;3.8;
Aceh;2015;Jasa Perusahaan;0.6;
Aceh;2015;Adm. Pemerintahan;9.0;
Aceh;2015;Jasa Pendidikan;2.2;
Aceh;2015;Jasa Kesehatan;2.5;
